"package","files","fmt_ms","idemp_ms","total_s"
"tools",0,0,0,2500
"mgcv",22,733004,602481,1335.5
"data.table",45,420907,146158,567.1
"utils",94,228532,212599,441.1
"stats",152,211451,196959,408.4
"igraph",88,187572,172754,360.3
"caret",91,172659,172892,345.6
"survival",160,168091,167312,335.4
"lattice",35,169379,162286,331.7
"base",163,156484,145907,302.4
"ggplot2",207,147682,146393,294.1
"nlme",19,137976,133733,271.7
"shiny",102,127412,129860,257.3
"methods",33,129254,126717,256
"brms",76,106543,106484,213
"Matrix",49,102548,97643,200.2
"terra",116,98003,101087,199.1
"sparklyr",239,92853,92052,184.9
"forecast",64,86790,86648,173.4
"future",74,75448,76713,152.2
"plotly",42,64594,75275,139.9
"cluster",18,61948,60573,122.5
"pak",53,60717,60220,120.9
"graphics",51,62637,57204,119.8
"grDevices",33,59186,56145,115.3
"renv",209,55161,54612,109.8
"cli",74,52001,49515,101.5
"parsnip",212,50635,50093,100.7
"rmarkdown",48,51206,49095,100.3
"usethis",86,47480,46959,94.4
"recipes",137,47619,46398,94
"lme4",28,45610,45283,90.9
"arrow",79,42529,41979,84.5
"sf",54,39625,39638,79.3
"parallelly",43,39494,38314,77.8
"grid",31,39543,38114,77.7
"MASS",42,39831,36460,76.3
"callr",27,36189,35830,72
"plumber",38,34202,30481,64.7
"rlang",72,29760,29524,59.3
"pkgdown",70,29862,29385,59.2
"pins",57,28786,28480,57.3
"glmnet",98,27442,27234,54.7
"boot",2,27867,26281,54.1
"dplyr",107,25923,25395,51.3
"sp",62,25257,25538,50.8
"processx",21,25576,25159,50.7
"vctrs",86,25469,25072,50.5
"xts",58,24987,24665,49.7
"yardstick",74,25283,24208,49.5
"bslib",49,23922,22779,46.7
"testthat",96,23508,23214,46.7
"fable",21,23866,20839,44.7
"zoo",36,19841,20254,40.1
"remotes",35,20026,19040,39.1
"roxygen2",61,19509,19451,39
"lubridate",51,18803,18668,37.5
"xgboost",24,18275,17722,36
"httr2",74,17204,16956,34.2
"patchwork",24,16093,16045,32.1
"rpart",36,16000,13236,29.2
"tsibble",32,14333,14074,28.4
"tidyr",42,14050,13492,27.5
"pillar",54,13154,13037,26.2
"covr",30,13415,12694,26.1
"scales",56,13051,12840,25.9
"leaflet",34,13158,12640,25.8
"parallel",15,12262,11946,24.2
"compiler",1,11691,11369,23.1
"readr",31,11478,11274,22.8
"duckdb",59,11496,11194,22.7
"DT",6,11848,10743,22.6
"foreign",14,11335,10475,21.8
"ggridges",15,11133,10225,21.4
"tibble",43,10757,10527,21.3
"purrr",61,10474,10286,20.8
"stringi",50,10248,9985,20.2
"janitor",29,9594,9100,18.7
"workflows",27,9370,9049,18.4
"httr",57,9256,9106,18.4
"Rcpp",19,9213,8949,18.2
"htmltools",15,9066,8780,17.8
"rvest",16,7675,7453,15.1
"xml2",33,7140,6996,14.1
"devtools",45,7006,6957,14
"DBI",159,6685,6718,13.4
"cowplot",21,6710,6570,13.3
"tcltk",9,6635,6519,13.2
"stringr",35,6424,6310,12.7
"tinytest",6,6574,6137,12.7
"jsonlite",64,6116,6073,12.2
"furrr",17,5484,5410,10.9
"openssl",31,5418,5342,10.8
"nnet",4,5512,4818,10.3
"crayon",22,5103,5008,10.1
"codetools",1,4919,4899,9.8
"KernSmooth",1,4939,4759,9.7
"R6",11,4874,4714,9.6
"RSQLite",69,4686,4636,9.3
"forcats",29,4081,4028,8.1
"bench",15,3994,4016,8
"digest",8,4078,3762,7.8
"curl",20,3822,3834,7.7
"splines",3,3823,3695,7.5
"withr",30,3814,3706,7.5
"lifecycle",14,3594,3533,7.1
"shinydashboard",11,3166,3084,6.2
"profvis",12,3038,3068,6.1
"spatial",3,3045,2939,6
"httpuv",7,2956,2926,5.9
"evaluate",17,2701,2714,5.4
"fst",9,2732,2636,5.4
"stats4",2,2042,1938,4
"progress",3,1771,1746,3.5
"class",5,1692,1642,3.3
"glue",11,1459,1394,2.9
"memoise",6,1269,1308,2.6
"qs2",9,1327,1319,2.6
"readxl",10,1137,1106,2.2
"RcppParallel",10,987,922,1.9
"magrittr",7,629,623,1.3
"yaml",8,426,444,0.9
"here",6,378,404,0.8
"xmlparsedata",2,340,332,0.7
"writexl",3,325,314,0.6
"viridis",1,211,204,0.4
